ID                                ACCOUNT    SCOPE:NAME                                                                                                                                 STATE[OK/REPL/STUCK]      RSE_EXPRESSION                                                                                                                                                                                                                                                                                                                                          COPIES    SIZE       EXPIRES (UTC)        CREATED (UTC)
--------------------------------  ---------  -----------------------------------------------------------------------------------------------------------------------------------------  ------------------------  ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  --------  ---------  -------------------  -------------------
3bcb10c430a84ba2876a28035856a0ce  aguven     cms:/Zto2Nu-4Jets_HT-200to400_TuneCP5_13p6TeV_madgraphMLM-pythia8/Run3Summer22EEDRPremix-124X_mcRun3_2022_realistic_postEE_v1-v2/AODSIM    REPLICATING[0/8110/0]     T1_DE_KIT_Disk|T1_ES_PIC_Disk|T1_FR_CCIN2P3_Disk|T1_IT_CNAF_Disk|T1_UK_RAL_Disk|T2_BE_IIHE|T2_BE_UCL|T2_CH_CERN|T2_CH_CSCS|T2_DE_DESY|T2_DE_RWTH|T2_EE_Estonia|T2_ES_CIEMAT|T2_FI_HIP|T2_FR_GRIF|T2_FR_GRIF_IRFU|T2_FR_GRIF_LLR|T2_FR_IPHC|T2_HU_Budapest|T2_IT_Bari|T2_IT_Legnaro|T2_IT_Pisa|T2_IT_Rome|T2_KR_KISTI|T2_UK_London_IC|T2_UK_SGrid_RALPP  1         N/A        2025-04-12 15:19:03  2025-03-21 15:19:03
6977aab933ed486192af0122c2b10ca4  aguven     cms:/store/data/Run2023D/JetMET1/AOD/19Dec2023-v1/2560000/c58f223d-4c0a-4612-84b4-42218c1f51a0.root                                        OK[1/0/0]                 T2_AT_Vienna                                                                                                                                                                                                                                                                                                                                            1         11.242 GB  2025-03-28 15:07:41  2025-03-14 15:01:01
52309e7706e7461dae15b9465dee62ef  aguven     cms:/QCD-4Jets_HT-70to100_TuneCP5_13p6TeV_madgraphMLM-pythia8/Run3Summer22EEDRPremix-124X_mcRun3_2022_realistic_postEE_v1-v2/AODSIM        REPLICATING[6577/177/0]   T1_DE_KIT_Disk|T1_ES_PIC_Disk|T1_FR_CCIN2P3_Disk|T1_IT_CNAF_Disk|T1_UK_RAL_Disk|T2_BE_IIHE|T2_BE_UCL|T2_CH_CERN|T2_CH_CSCS|T2_DE_DESY|T2_DE_RWTH|T2_EE_Estonia|T2_ES_CIEMAT|T2_FI_HIP|T2_FR_GRIF|T2_FR_GRIF_IRFU|T2_FR_GRIF_LLR|T2_FR_IPHC|T2_HU_Budapest|T2_IT_Bari|T2_IT_Legnaro|T2_IT_Pisa|T2_IT_Rome|T2_KR_KISTI|T2_UK_London_IC|T2_UK_SGrid_RALPP  1         N/A        2025-04-12 15:20:37  2025-03-21 15:20:37
0981acf3e45443a7b490b72a3b3ad690  aguven     cms:/store/data/Run2022C/MET/AOD/27Jun2023-v2/25310000/82a8af2d-dc85-4df0-a872-7ea9fb154ef8.root                                           OK[1/0/0]                 T2_AT_Vienna                                                                                                                                                                                                                                                                                                                                            1         10.970 GB  2025-04-03 08:27:51  2025-03-20 08:21:11
9443d1db5fc345ee935452137792343f  aguven     cms:/Zto2Nu-4Jets_HT-200to400_TuneCP5_13p6TeV_madgraphMLM-pythia8/Run3Summer22DRPremix-124X_mcRun3_2022_realistic_v12-v2/AODSIM            OK[2455/0/0]              T1_DE_KIT_Disk|T1_ES_PIC_Disk|T1_FR_CCIN2P3_Disk|T1_IT_CNAF_Disk|T1_UK_RAL_Disk|T2_BE_IIHE|T2_BE_UCL|T2_CH_CERN|T2_CH_CSCS|T2_DE_DESY|T2_DE_RWTH|T2_EE_Estonia|T2_ES_CIEMAT|T2_FI_HIP|T2_FR_GRIF|T2_FR_GRIF_IRFU|T2_FR_GRIF_LLR|T2_FR_IPHC|T2_HU_Budapest|T2_IT_Bari|T2_IT_Legnaro|T2_IT_Pisa|T2_IT_Rome|T2_KR_KISTI|T2_UK_London_IC|T2_UK_SGrid_RALPP  1         N/A        2025-03-24 20:01:18  2025-03-20 10:29:51
3f9b0586ccf2423ea9bcdb2990ef7630  aguven     cms:/TTtoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer22DRPremix-124X_mcRun3_2022_realistic_v12-v5/AODSIM                                OK[9151/0/0]              T1_DE_KIT_Disk|T1_ES_PIC_Disk|T1_FR_CCIN2P3_Disk|T1_IT_CNAF_Disk|T1_UK_RAL_Disk|T2_BE_IIHE|T2_BE_UCL|T2_CH_CERN|T2_CH_CSCS|T2_DE_DESY|T2_DE_RWTH|T2_EE_Estonia|T2_ES_CIEMAT|T2_FI_HIP|T2_FR_GRIF|T2_FR_GRIF_IRFU|T2_FR_GRIF_LLR|T2_FR_IPHC|T2_HU_Budapest|T2_IT_Bari|T2_IT_Legnaro|T2_IT_Pisa|T2_IT_Rome|T2_KR_KISTI|T2_UK_London_IC|T2_UK_SGrid_RALPP  1         N/A        2025-03-24 20:01:25  2025-03-20 10:34:36
41fc724e8a4e44159410f5812a154c7c  aguven     cms:/QCD-4Jets_HT-1000to1200_TuneCP5_13p6TeV_madgraphMLM-pythia8/Run3Summer22DRPremix-124X_mcRun3_2022_realistic_v12-v2/AODSIM             OK[3099/0/0]              T1_DE_KIT_Disk|T1_ES_PIC_Disk|T1_FR_CCIN2P3_Disk|T1_IT_CNAF_Disk|T1_UK_RAL_Disk|T2_BE_IIHE|T2_BE_UCL|T2_CH_CERN|T2_CH_CSCS|T2_DE_DESY|T2_DE_RWTH|T2_EE_Estonia|T2_ES_CIEMAT|T2_FI_HIP|T2_FR_GRIF|T2_FR_GRIF_IRFU|T2_FR_GRIF_LLR|T2_FR_IPHC|T2_HU_Budapest|T2_IT_Bari|T2_IT_Legnaro|T2_IT_Pisa|T2_IT_Rome|T2_KR_KISTI|T2_UK_London_IC|T2_UK_SGrid_RALPP  1         N/A        2025-03-25 00:01:37  2025-03-20 10:33:02
064e0b5a32024717b78b7eb531055ec1  aguven     cms:/QCD-4Jets_HT-800to1000_TuneCP5_13p6TeV_madgraphMLM-pythia8/Run3Summer22DRPremix-124X_mcRun3_2022_realistic_v12-v2/AODSIM              OK[3044/0/0]              T1_DE_KIT_Disk|T1_ES_PIC_Disk|T1_FR_CCIN2P3_Disk|T1_IT_CNAF_Disk|T1_UK_RAL_Disk|T2_BE_IIHE|T2_BE_UCL|T2_CH_CERN|T2_CH_CSCS|T2_DE_DESY|T2_DE_RWTH|T2_EE_Estonia|T2_ES_CIEMAT|T2_FI_HIP|T2_FR_GRIF|T2_FR_GRIF_IRFU|T2_FR_GRIF_LLR|T2_FR_IPHC|T2_HU_Budapest|T2_IT_Bari|T2_IT_Legnaro|T2_IT_Pisa|T2_IT_Rome|T2_KR_KISTI|T2_UK_London_IC|T2_UK_SGrid_RALPP  1         N/A        2025-03-24 20:01:19  2025-03-20 10:33:02
9d282593103e46b5a40867d8f6427680  aguven     cms:/QCD-4Jets_HT-400to600_TuneCP5_13p6TeV_madgraphMLM-pythia8/Run3Summer22DRPremix-124X_mcRun3_2022_realistic_v12-v2/AODSIM               OK[2620/0/0]              T1_DE_KIT_Disk|T1_ES_PIC_Disk|T1_FR_CCIN2P3_Disk|T1_IT_CNAF_Disk|T1_UK_RAL_Disk|T2_BE_IIHE|T2_BE_UCL|T2_CH_CERN|T2_CH_CSCS|T2_DE_DESY|T2_DE_RWTH|T2_EE_Estonia|T2_ES_CIEMAT|T2_FI_HIP|T2_FR_GRIF|T2_FR_GRIF_IRFU|T2_FR_GRIF_LLR|T2_FR_IPHC|T2_HU_Budapest|T2_IT_Bari|T2_IT_Legnaro|T2_IT_Pisa|T2_IT_Rome|T2_KR_KISTI|T2_UK_London_IC|T2_UK_SGrid_RALPP  1         N/A        2025-03-24 20:01:19  2025-03-20 10:40:15
c6fa0d4c41b149e3a91ddf71672a640a  aguven     cms:/QCD-4Jets_HT-40to70_TuneCP5_13p6TeV_madgraphMLM-pythia8/Run3Summer22DRPremix-124X_mcRun3_2022_realistic_v12-v2/AODSIM                 STUCK[1705/91/122]        T1_DE_KIT_Disk|T1_ES_PIC_Disk|T1_FR_CCIN2P3_Disk|T1_IT_CNAF_Disk|T1_UK_RAL_Disk|T2_BE_IIHE|T2_BE_UCL|T2_CH_CERN|T2_CH_CSCS|T2_DE_DESY|T2_DE_RWTH|T2_EE_Estonia|T2_ES_CIEMAT|T2_FI_HIP|T2_FR_GRIF|T2_FR_GRIF_IRFU|T2_FR_GRIF_LLR|T2_FR_IPHC|T2_HU_Budapest|T2_IT_Bari|T2_IT_Legnaro|T2_IT_Pisa|T2_IT_Rome|T2_KR_KISTI|T2_UK_London_IC|T2_UK_SGrid_RALPP  1         N/A        2025-04-11 11:11:48  2025-03-20 11:11:48
8149ae3970d54c3aac5a415065aafcea  aguven     cms:/WtoLNu-4Jets_TuneCP5_13p6TeV_madgraphMLM-pythia8/Run3Summer22DRPremix-124X_mcRun3_2022_realistic_v12-v2/AODSIM                        OK[9032/0/0]              T1_DE_KIT_Disk|T1_ES_PIC_Disk|T1_FR_CCIN2P3_Disk|T1_IT_CNAF_Disk|T1_UK_RAL_Disk|T2_BE_IIHE|T2_BE_UCL|T2_CH_CERN|T2_CH_CSCS|T2_DE_DESY|T2_DE_RWTH|T2_EE_Estonia|T2_ES_CIEMAT|T2_FI_HIP|T2_FR_GRIF|T2_FR_GRIF_IRFU|T2_FR_GRIF_LLR|T2_FR_IPHC|T2_HU_Budapest|T2_IT_Bari|T2_IT_Legnaro|T2_IT_Pisa|T2_IT_Rome|T2_KR_KISTI|T2_UK_London_IC|T2_UK_SGrid_RALPP  1         N/A        2025-03-24 15:25:31  2025-03-20 10:34:32
564a77f666894161adc792031a8242f2  aguven     cms:/QCD-4Jets_HT-70to100_TuneCP5_13p6TeV_madgraphMLM-pythia8/Run3Summer22DRPremix-124X_mcRun3_2022_realistic_v12-v2/AODSIM                OK[2045/0/0]              T1_DE_KIT_Disk|T1_ES_PIC_Disk|T1_FR_CCIN2P3_Disk|T1_IT_CNAF_Disk|T1_UK_RAL_Disk|T2_BE_IIHE|T2_BE_UCL|T2_CH_CERN|T2_CH_CSCS|T2_DE_DESY|T2_DE_RWTH|T2_EE_Estonia|T2_ES_CIEMAT|T2_FI_HIP|T2_FR_GRIF|T2_FR_GRIF_IRFU|T2_FR_GRIF_LLR|T2_FR_IPHC|T2_HU_Budapest|T2_IT_Bari|T2_IT_Legnaro|T2_IT_Pisa|T2_IT_Rome|T2_KR_KISTI|T2_UK_London_IC|T2_UK_SGrid_RALPP  1         N/A        2025-03-24 20:01:18  2025-03-20 11:13:30
76e0fbe69514414390acfe759b4597f6  aguven     cms:/QCD-4Jets_HT-2000_TuneCP5_13p6TeV_madgraphMLM-pythia8/Run3Summer22DRPremix-124X_mcRun3_2022_realistic_v12-v2/AODSIM                   REPLICATING[274/2448/0]   T1_DE_KIT_Disk|T1_ES_PIC_Disk|T1_FR_CCIN2P3_Disk|T1_IT_CNAF_Disk|T1_UK_RAL_Disk|T2_BE_IIHE|T2_BE_UCL|T2_CH_CERN|T2_CH_CSCS|T2_DE_DESY|T2_DE_RWTH|T2_EE_Estonia|T2_ES_CIEMAT|T2_FI_HIP|T2_FR_GRIF|T2_FR_GRIF_IRFU|T2_FR_GRIF_LLR|T2_FR_IPHC|T2_HU_Budapest|T2_IT_Bari|T2_IT_Legnaro|T2_IT_Pisa|T2_IT_Rome|T2_KR_KISTI|T2_UK_London_IC|T2_UK_SGrid_RALPP  1         N/A        2025-04-11 10:33:39  2025-03-20 10:33:39
