#: table_doi: 10.17182/hepdata.166009.v1/t8
#: name: Figure 11a (upper left), grid of upper limits
#: description: Observed 95% CL upper limits on the production cross section for the bino-wino NLSP model, as functions of $m_{	ext{LLP}}$ and $c\tau$, for $\Delta m$ of 12 GeV. The observed (solid black) and expected (dashed red) exclusion curves are overlaid on the plots. The search excludes the region to the left of the exclusion curves.
#: data_file: figure_11a_(upper_left),_grid_of_upper_limits.yaml
#: keyword observables: $c\tau$ | $m$ | limit
#: keyword reactions: P P --> GLUINO GLUINO
#: keyword cmenergies: 13000.0
$m$ [GeV],$c\tau$ [mm],$c\tau$ [mm] LOW,$c\tau$ [mm] HIGH,Observed 95% CL upper limit on $\sigma B$ [fb]
200.0,0.19999999999999998,0.05,0.35,1292.2
200.0,0.5,0.35,0.65,547.06
200.0,1.0,0.65,1.35,404.77
200.0,2.0,1.35,2.65,300.87
200.0,5.0,2.65,7.35,276.47
200.0,10.0,7.35,12.65,274.66
200.0,20.0,12.65,27.35,276.47
200.0,50.0,27.35,72.65,375.86
200.0,100.0,72.65,127.35,625.22
200.0,200.0,127.35,272.65,957.98
300.0,0.19999999999999998,0.05,0.35,815.62
300.0,0.5,0.35,0.65,300.2
300.0,1.0,0.65,1.35,185.67
300.0,2.0,1.35,2.65,172.35
300.0,5.0,2.65,7.35,128.84
300.0,10.0,7.35,12.65,117.69
300.0,20.0,12.65,27.35,143.16
300.0,50.0,27.35,72.65,190.78
300.0,100.0,72.65,127.35,277.28
300.0,200.0,127.35,272.65,457.57
400.0,0.19999999999999998,0.05,0.35,406.56
400.0,0.5,0.35,0.65,194.67
400.0,1.0,0.65,1.35,135.98
400.0,2.0,1.35,2.65,96.246
400.0,5.0,2.65,7.35,75.638
400.0,10.0,7.35,12.65,76.002
400.0,20.0,12.65,27.35,77.917
400.0,50.0,27.35,72.65,103.31
400.0,100.0,72.65,127.35,147.58
400.0,200.0,127.35,272.65,231.69
500.0,0.19999999999999998,0.05,0.35,377.9
500.0,0.5,0.35,0.65,151.32
500.0,1.0,0.65,1.35,92.071
500.0,2.0,1.35,2.65,72.744
500.0,5.0,2.65,7.35,61.818
500.0,10.0,7.35,12.65,59.375
500.0,20.0,12.65,27.35,63.011
500.0,50.0,27.35,72.65,81.353
500.0,100.0,72.65,127.35,116.2
500.0,200.0,127.35,272.65,184.43
600.0,0.19999999999999998,0.05,0.35,490.38
600.0,0.5,0.35,0.65,141.79
600.0,1.0,0.65,1.35,84.614
600.0,2.0,1.35,2.65,63.635
600.0,5.0,2.65,7.35,50.323
600.0,10.0,7.35,12.65,50.308
600.0,20.0,12.65,27.35,49.665
600.0,50.0,27.35,72.65,65.307
600.0,100.0,72.65,127.35,90.504
600.0,200.0,127.35,272.65,138.41

