#: table_doi: 10.17182/hepdata.166009.v1/t10
#: name: Figure 11b (upper right), grid of upper limits
#: description: Observed 95% CL upper limits on the production cross section for the bino-wino NLSP model, as functions of the $m_{	ext{LLP}}$ and $c\tau$, for $\Delta m$ of 15 GeV. The observed (solid black) and expected (dashed red) exclusion curves are overlaid on the plots. The search excludes the region to the left of the exclusion curves.
#: data_file: figure_11b_(upper_right),_grid_of_upper_limits.yaml
#: keyword observables: $c\tau$ | $m$ | limit
#: keyword reactions: P P --> GLUINO GLUINO
#: keyword cmenergies: 13000.0
$m$ [GeV],$c\tau$ [mm],$c\tau$ [mm] LOW,$c\tau$ [mm] HIGH,Observed 95% CL upper limit on $\sigma B$ [fb]
200.0,0.19999999999999998,0.05,0.35,1072.7
200.0,0.5,0.35,0.65,433.68
200.0,1.0,0.65,1.35,301.77
200.0,2.0,1.35,2.65,256.59
200.0,5.0,2.65,7.35,204.19
200.0,10.0,7.35,12.65,202.38
200.0,20.0,12.65,27.35,206.0
200.0,50.0,27.35,72.65,320.74
200.0,100.0,72.65,127.35,480.66
200.0,200.0,127.35,272.65,718.57
300.0,0.19999999999999998,0.05,0.35,535.8
300.0,0.5,0.35,0.65,215.66
300.0,1.0,0.65,1.35,147.29
300.0,2.0,1.35,2.65,92.856
300.0,5.0,2.65,7.35,86.666
300.0,10.0,7.35,12.65,82.41
300.0,20.0,12.65,27.35,92.507
300.0,50.0,27.35,72.65,127.13
300.0,100.0,72.65,127.35,187.1
300.0,200.0,127.35,272.65,312.84
400.0,0.19999999999999998,0.05,0.35,349.93
400.0,0.5,0.35,0.65,147.26
400.0,1.0,0.65,1.35,98.533
400.0,2.0,1.35,2.65,69.962
400.0,5.0,2.65,7.35,59.344
400.0,10.0,7.35,12.65,55.781
400.0,20.0,12.65,27.35,60.615
400.0,50.0,27.35,72.65,78.034
400.0,100.0,72.65,127.35,109.87
400.0,200.0,127.35,272.65,178.11
500.0,0.19999999999999998,0.05,0.35,274.09
500.0,0.5,0.35,0.65,113.61
500.0,1.0,0.65,1.35,72.636
500.0,2.0,1.35,2.65,61.364
500.0,5.0,2.65,7.35,48.283
500.0,10.0,7.35,12.65,46.028
500.0,20.0,12.65,27.35,49.281
500.0,50.0,27.35,72.65,61.722
500.0,100.0,72.65,127.35,85.728
500.0,200.0,127.35,272.65,133.81
600.0,0.19999999999999998,0.05,0.35,254.56
600.0,0.5,0.35,0.65,104.22
600.0,1.0,0.65,1.35,62.077
600.0,2.0,1.35,2.65,42.879
600.0,5.0,2.65,7.35,36.858
600.0,10.0,7.35,12.65,36.468
600.0,20.0,12.65,27.35,40.207
600.0,50.0,27.35,72.65,51.778
600.0,100.0,72.65,127.35,69.488
600.0,200.0,127.35,272.65,111.59

