#: table_doi: 10.17182/hepdata.166009.v1/t12
#: name: Figure 11c (lower left), grid of upper limits
#: description: Observed 95% CL upper limits on the production cross section for the bino-wino NLSP model, as functions of the $m_{	ext{LLP}}$ and $c\tau$, for $\Delta m$ of 20 GeV. The observed (solid black) and expected (dashed red) exclusion curves are overlaid on the plots. The search excludes the region to the left of the exclusion curves.
#: data_file: figure_11c_(lower_left),_grid_of_upper_limits.yaml
#: keyword observables: $c\tau$ | $m$ | limit
#: keyword reactions: P P --> GLUINO GLUINO
#: keyword cmenergies: 13000.0
$m$ [GeV],$c\tau$ [mm],$c\tau$ [mm] LOW,$c\tau$ [mm] HIGH,Observed 95% CL upper limit on $\sigma B$ [fb]
200.0,0.19999999999999998,0.05,0.35,813.15
200.0,0.5,0.35,0.65,411.99
200.0,1.0,0.65,1.35,281.89
200.0,2.0,1.35,2.65,251.17
200.0,5.0,2.65,7.35,202.38
200.0,10.0,7.35,12.65,200.58
200.0,20.0,12.65,27.35,182.51
200.0,50.0,27.35,72.65,252.98
200.0,100.0,72.65,127.35,355.98
200.0,200.0,127.35,272.65,580.05
300.0,0.19999999999999998,0.05,0.35,450.11
300.0,0.5,0.35,0.65,192.86
300.0,1.0,0.65,1.35,130.62
300.0,2.0,1.35,2.65,92.469
300.0,5.0,2.65,7.35,81.249
300.0,10.0,7.35,12.65,76.219
300.0,20.0,12.65,27.35,81.249
300.0,50.0,27.35,72.65,107.17
300.0,100.0,72.65,127.35,147.82
300.0,200.0,127.35,272.65,247.77
400.0,0.19999999999999998,0.05,0.35,312.61
400.0,0.5,0.35,0.65,131.85
400.0,1.0,0.65,1.35,85.798
400.0,2.0,1.35,2.65,75.621
400.0,5.0,2.65,7.35,56.921
400.0,10.0,7.35,12.65,52.959
400.0,20.0,12.65,27.35,53.394
400.0,50.0,27.35,72.65,67.931
400.0,100.0,72.65,127.35,96.485
400.0,200.0,127.35,272.65,148.75
500.0,0.19999999999999998,0.05,0.35,297.11
500.0,0.5,0.35,0.65,115.64
500.0,1.0,0.65,1.35,58.864
500.0,2.0,1.35,2.65,47.049
500.0,5.0,2.65,7.35,38.607
500.0,10.0,7.35,12.65,38.193
500.0,20.0,12.65,27.35,39.939
500.0,50.0,27.35,72.65,50.447
500.0,100.0,72.65,127.35,67.944
500.0,200.0,127.35,272.65,103.89
600.0,0.19999999999999998,0.05,0.35,236.74
600.0,0.5,0.35,0.65,85.105
600.0,1.0,0.65,1.35,50.282
600.0,2.0,1.35,2.65,40.272
600.0,5.0,2.65,7.35,33.26
600.0,10.0,7.35,12.65,32.047
600.0,20.0,12.65,27.35,33.32
600.0,50.0,27.35,72.65,41.203
600.0,100.0,72.65,127.35,54.096
600.0,200.0,127.35,272.65,80.024

