#: table_doi: 10.17182/hepdata.166009.v1/t14
#: name: Figure 11d (lower right), grid of upper limits
#: description: Observed 95% CL upper limits on the production cross section for the bino-wino NLSP model, as functions of the $m_{	ext{LLP}}$ and $c\tau$, for $\Delta m$ of 25 GeV. The observed (solid black) and expected (dashed red) exclusion curves are overlaid on the plots. The search excludes the region to the left of the exclusion curves.
#: data_file: figure_11d_(lower_right),_grid_of_upper_limits.yaml
#: keyword observables: $c\tau$ | $m$ | limit
#: keyword reactions: P P --> GLUINO GLUINO
#: keyword cmenergies: 13000.0
$m$ [GeV],$c\tau$ [mm],$c\tau$ [mm] LOW,$c\tau$ [mm] HIGH,Observed 95% CL upper limit on $\sigma B$ [fb]
200.0,0.19999999999999998,0.05,0.35,650.52
200.0,0.5,0.35,0.65,361.4
200.0,1.0,0.65,1.35,279.18
200.0,2.0,1.35,2.65,194.25
200.0,5.0,2.65,7.35,180.7
200.0,10.0,7.35,12.65,178.89
200.0,20.0,12.65,27.35,182.51
200.0,50.0,27.35,72.65,252.98
200.0,100.0,72.65,127.35,354.17
200.0,200.0,127.35,272.65,578.68
300.0,0.19999999999999998,0.05,0.35,438.36
300.0,0.5,0.35,0.65,182.47
300.0,1.0,0.65,1.35,127.43
300.0,2.0,1.35,2.65,98.66
300.0,5.0,2.65,7.35,76.993
300.0,10.0,7.35,12.65,75.832
300.0,20.0,12.65,27.35,80.862
300.0,50.0,27.35,72.65,102.14
300.0,100.0,72.65,127.35,145.54
300.0,200.0,127.35,272.65,224.39
400.0,0.19999999999999998,0.05,0.35,281.37
400.0,0.5,0.35,0.65,113.74
400.0,1.0,0.65,1.35,71.635
400.0,2.0,1.35,2.65,58.647
400.0,5.0,2.65,7.35,48.04
400.0,10.0,7.35,12.65,46.006
400.0,20.0,12.65,27.35,49.34
400.0,50.0,27.35,72.65,60.411
400.0,100.0,72.65,127.35,82.772
400.0,200.0,127.35,272.65,126.46
500.0,0.19999999999999998,0.05,0.35,215.7
500.0,0.5,0.35,0.65,90.205
500.0,1.0,0.65,1.35,55.606
500.0,2.0,1.35,2.65,48.111
500.0,5.0,2.65,7.35,38.906
500.0,10.0,7.35,12.65,35.377
500.0,20.0,12.65,27.35,36.696
500.0,50.0,27.35,72.65,45.122
500.0,100.0,72.65,127.35,61.848
500.0,200.0,127.35,272.65,93.489
600.0,0.19999999999999998,0.05,0.35,199.95
600.0,0.5,0.35,0.65,93.713
600.0,1.0,0.65,1.35,58.439
600.0,2.0,1.35,2.65,34.395
600.0,5.0,2.65,7.35,29.11
600.0,10.0,7.35,12.65,28.311
600.0,20.0,12.65,27.35,28.8
600.0,50.0,27.35,72.65,35.715
600.0,100.0,72.65,127.35,45.48
600.0,200.0,127.35,272.65,71.202

