#: table_doi: 10.17182/hepdata.166009.v1/t2
#: name: Figure 10a (upper left), grid of upper limits
#: description: Observed 95% CL upper limits on the $\tilde{t}$ production cross section, as functions of $m_{\tilde{t}}$ and $\Delta m$, for $\mathcal{B}(\tilde{t} \to bf\overline{f}'\tilde{\chi}^{0}_{1})$ of 10%. The observed (solid black) and expected (dashed red) exclusion curves are overlaid on the plots. The search excludes the region to the left of the exclusion curves.
#: data_file: figure_10a_(upper_left),_grid_of_upper_limits.yaml
#: keyword observables: $\Delta m$ | $m$ | limit
#: keyword reactions: P P --> GLUINO GLUINO
#: keyword cmenergies: 13000.0
$m$ [GeV],$\Delta m$ [GeV],Observed 95% CL upper limit on $\sigma B$ [fb]
400.0,12.0,16.125
400.0,15.0,26.875
400.0,20.0,262.3
400.0,25.0,2192.9
500.0,12.0,12.484
500.0,15.0,14.92
500.0,20.0,112.06
500.0,25.0,3125.4
600.0,12.0,9.43
600.0,15.0,12.403
600.0,20.0,67.088
600.0,25.0,2467.7
700.0,12.0,7.9866
700.0,15.0,10.375
700.0,20.0,60.509
700.0,25.0,951.65
800.0,12.0,7.6473
800.0,15.0,7.1231
800.0,20.0,32.375
800.0,25.0,620.58
900.0,12.0,6.9829
900.0,15.0,5.5553
900.0,20.0,31.98
900.0,25.0,532.87
1000.0,12.0,6.0565
1000.0,15.0,5.6563
1000.0,20.0,25.209
1000.0,25.0,473.99
1100.0,12.0,6.2031
1100.0,15.0,6.6629
1100.0,20.0,24.504
1100.0,25.0,401.24
1200.0,12.0,5.9133
1200.0,15.0,4.1881
1200.0,20.0,19.576
1200.0,25.0,415.83
1300.0,12.0,5.727
1300.0,15.0,6.2626
1300.0,20.0,19.297
1300.0,25.0,232.34
1400.0,12.0,5.4035
1400.0,15.0,4.2251
1400.0,20.0,13.055
1400.0,25.0,270.48

