#: table_doi: 10.17182/hepdata.166009.v1/t4
#: name: Figure 10b (upper right), grid of upper limits
#: description: Observed 95% CL upper limits on the $\tilde{t}$ production cross section, as functions of $m_{\tilde{t}}$ and $\Delta m$, for $\mathcal{B}(\tilde{t} \to bf\overline{f}'\tilde{\chi}^{0}_{1})$ of 50%. The observed (solid black) and expected (dashed red) exclusion curves are overlaid on the plots. The search excludes the region to the left of the exclusion curves.
#: data_file: figure_10b_(upper_right),_grid_of_upper_limits.yaml
#: keyword observables: $\Delta m$ | $m$ | limit
#: keyword reactions: P P --> GLUINO GLUINO
#: keyword cmenergies: 13000.0
$m$ [GeV],$\Delta m$ [GeV],Observed 95% CL upper limit on $\sigma B$ [fb]
400.0,12.0,25.8
400.0,15.0,12.9
400.0,20.0,26.875
400.0,25.0,205.32
500.0,12.0,22.229
500.0,15.0,9.135
500.0,20.0,15.225
500.0,25.0,108.4
600.0,12.0,17.015
600.0,15.0,7.4825
600.0,20.0,14.965
600.0,25.0,68.878
700.0,12.0,15.621
700.0,15.0,6.6164
700.0,20.0,9.5526
700.0,25.0,50.73
800.0,12.0,14.479
800.0,15.0,5.1182
800.0,20.0,8.2804
800.0,25.0,39.058
900.0,12.0,14.348
900.0,15.0,4.9761
900.0,20.0,6.864
900.0,25.0,30.933
1000.0,12.0,14.956
1000.0,15.0,4.7994
1000.0,20.0,5.6076
1000.0,25.0,24.411
1100.0,12.0,12.937
1100.0,15.0,4.7305
1100.0,20.0,5.2693
1100.0,25.0,22.886
1200.0,12.0,13.295
1200.0,15.0,4.3239
1200.0,20.0,5.114
1200.0,25.0,18.793
1300.0,12.0,14.169
1300.0,15.0,4.3609
1300.0,20.0,4.848
1300.0,25.0,17.378
1400.0,12.0,13.247
1400.0,15.0,4.151
1400.0,20.0,4.2819
1400.0,25.0,14.662

